step,MM-0_pnl,MM-0_inv,MM-0_nav,MM-1_pnl,MM-1_inv,MM-1_nav,TF-0_pnl,TF-0_inv,TF-0_nav,TF-1_pnl,TF-1_inv,TF-1_nav,MR-0_pnl,MR-0_inv,MR-0_nav,MR-1_pnl,MR-1_inv,MR-1_nav,LT-0_pnl,LT-0_inv,LT-0_nav,LT-1_pnl,LT-1_inv,LT-1_nav,SP-0_pnl,SP-0_inv,SP-0_nav,RL-0_pnl,RL-0_inv,RL-0_nav
0,-0.02,0,-0.02,-0.02,0,-0.02,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
1,-0.04,0,-0.04,-0.04,0,-0.04,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2,-0.060000000000000005,0,-0.060000000000000005,-0.060000000000000005,0,-0.060000000000000005,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
3,-0.08,0,-0.08,-0.08,0,-0.08,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
4,-0.09999999999999999,0,-0.09999999999999999,-0.09999999999999999,0,-0.09999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
5,-0.11999999999999998,0,-0.11999999999999998,-0.11999999999999998,0,-0.11999999999999998,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.01,0,-0.01
6,-0.13999999999999999,0,-0.13999999999999999,-0.13999999999999999,0,-0.13999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.01,0,-0.01,99.96573321625075,-1,-0.007224023016391357
7,-0.16,0,-0.16,-0.16,0,-0.16,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.01,0,-0.01,0.0,0,0.0,100.06211524122368,-1,0.019511884483421227,199.9233486350543,-2,-0.02256584347998114
8,-0.18000000000000002,0,-0.18000000000000002,-0.18000000000000002,0,-0.18000000000000002,0.0,0,0.0,-0.01,0,-0.01,0.0,0,0.0,0.0,0,0.0,399.5996362536182,-4,1.858986844250694,0.0,0,0.0,200.18437732535278,-2,0.0991706118722675,299.69167333973803,-3,1.3861862827124014
9,-0.20000000000000004,0,-0.20000000000000004,-0.20000000000000004,0,-0.20000000000000004,0.0,0,0.0,99.62523590626326,-1,0.25161795313162827,0.0,0,0.0,0.0,0,0.0,399.5996362536182,-4,2.105164441091688,0.0,0,0.0,300.27908267449294,-3,0.15127260427215106,299.68167333973804,-3,1.5608194803431843
